invoice_line_id,invoice_id,line_number,product_id,quantity,unit_price,line_total
1,13,1,39,42,11152.05,468386.08
2,120,2,6,50,3978.36,198917.93
3,71,3,5,20,7258.11,145162.12
6,51,3,27,42,5190.04,217981.71
8,34,2,17,47,44491.63,2091106.7
9,20,3,14,27,29973.11,809274.04
10,84,1,42,25,3065.19,76629.73
11,40,2,3,12,7469.2,89630.4
12,32,3,35,33,10635.44,350969.65
13,37,1,31,14,45041.09,630575.32
14,81,2,42,5,3333.13,16665.67
15,17,3,6,14,3923.25,54925.43
17,22,2,42,5,3333.13,16665.67
18,5,3,46,22,20969.96,461339.19
19,46,1,5,33,7156.25,236156.19
20,111,2,23,33,24173.41,797722.57
21,60,3,31,11,41396.95,455366.5
22,71,1,27,35,4819.24,168673.39
23,18,2,3,44,8535.31,375553.5
26,59,2,18,26,6990.64,181756.53
27,68,3,43,14,22380.08,313321.07
28,117,1,6,50,3978.36,198917.93
29,62,2,8,9,31472.43,283251.91
30,104,3,31,11,41396.95,455366.5
31,57,1,9,7,19608.16,137257.15
32,47,2,35,36,11070.93,398553.63
33,34,3,50,47,34251.26,1609809.06
34,39,1,42,5,3333.13,16665.67
35,1,2,43,14,22380.08,313321.07
36,45,3,23,15,28749.26,431238.9
37,61,1,4,25,38459.64,961491.08
38,89,2,13,14,40064.56,560903.91
39,97,3,8,37,31290.5,1157748.36
40,39,1,42,5,3333.13,16665.67
42,56,3,34,33,46325.24,1528732.94
44,30,2,12,8,1395.94,11167.48
45,71,3,27,35,4819.24,168673.39
46,25,1,42,6,2964.75,17788.49
47,113,2,19,28,43991.58,1231764.36
48,51,3,27,42,5190.04,217981.71
49,21,1,33,35,30291.8,1060213.13
50,95,2,40,44,20057.85,882545.55
51,50,3,34,13,43096.91,560259.83
53,34,2,50,47,34251.26,1609809.06
54,55,3,19,11,36956.86,406525.48
56,98,2,33,35,30291.8,1060213.13
57,104,3,31,11,41396.95,455366.5
58,37,1,31,14,45041.09,630575.32
59,53,2,35,23,10916.33,251075.49
62,24,2,31,32,40352.79,1291289.16
63,38,3,31,9,45596.22,410365.96
64,82,1,13,14,40064.56,560903.91
66,58,3,42,5,3333.13,16665.67
67,90,1,42,6,2964.75,17788.49
68,25,2,42,6,2964.75,17788.49
69,3,3,27,42,5190.04,217981.71
70,7,1,19,44,38888.74,1711104.55
71,3,2,27,42,5190.04,217981.71
73,37,1,31,14,45041.09,630575.32
74,17,2,6,14,3923.25,54925.43
75,57,3,9,7,19608.16,137257.15
76,30,1,12,8,1395.94,11167.48
77,20,2,14,27,29973.11,809274.04
78,64,3,8,9,31472.43,283251.91
79,44,1,2,30,35343.44,1060303.12
80,40,2,46,43,22274.43,957800.35
81,103,3,47,6,31641.68,189850.05
82,48,1,31,11,41396.95,455366.5
83,90,2,42,6,2964.75,17788.49
84,43,3,31,11,41396.95,455366.5
86,97,2,9,40,19832.54,793301.64
87,8,3,31,11,41396.95,455366.5
89,51,2,27,42,5190.04,217981.71
90,70,3,31,11,41396.95,455366.5
91,24,1,31,32,40352.79,1291289.16
92,115,2,12,8,1395.94,11167.48
94,49,1,35,23,10916.33,251075.49
95,16,2,14,27,28966.91,782106.5
96,50,3,34,13,43096.91,560259.83
97,32,1,35,33,10635.44,350969.65
98,5,2,11,26,4645.58,120785.02
99,59,3,15,45,12588.5,566482.65
101,86,2,9,7,19608.16,137257.15
102,61,3,21,18,43732.37,787182.61
103,88,1,21,18,43732.37,787182.61
104,120,2,6,50,3978.36,198917.93
105,21,3,33,35,30291.8,1060213.13
106,94,1,39,42,11152.05,468386.08
107,96,2,8,31,27166.62,842165.35
108,33,3,6,50,3978.36,198917.93
109,82,1,13,14,40064.56,560903.91
110,26,2,10,12,19218.11,230617.29
111,114,3,39,29,11392.85,330392.57
112,111,1,46,21,23101.94,485140.8
113,15,2,3,19,7617.35,144729.6
114,82,3,13,14,40064.56,560903.91
115,42,1,17,48,43986.6,2111356.79
