invoice_id,order_id,invoice_date,due_date,total_amount,status
1,11,2025-09-14,2025-11-13,245347.89,Sent
2,95,2026-04-09,2026-06-08,255806.46,Paid
3,123,2025-08-20,2025-09-04,395933.57,Overdue
4,30,2025-09-17,2025-11-01,410014.47,Overdue
5,49,2026-06-06,2026-06-21,205649.46,Paid
6,125,2026-01-13,2026-03-14,161103.56,Paid
7,42,2025-09-30,2025-10-15,462390.35,Draft
8,121,2025-12-02,2025-12-17,19999.05,Cancelled
9,1,2026-06-19,2026-08-18,193408.88,Sent
10,143,2026-03-07,2026-04-21,363200.75,Overdue
11,72,2026-05-14,2026-05-29,394150.77,Sent
12,83,2026-03-20,2026-05-04,167992.26,Paid
13,107,2026-03-10,2026-05-09,447695.23,Cancelled
14,72,2025-09-30,2025-11-14,394150.77,Overdue
15,45,2026-07-20,2026-09-18,198506.31,Cancelled
16,114,2026-06-07,2026-08-06,436914.43,Sent
17,73,2025-08-30,2025-10-29,238231.81,Paid
18,63,2026-06-08,2026-07-23,268661.93,Overdue
19,30,2026-01-25,2026-02-09,410014.47,Sent
20,89,2026-07-29,2026-08-28,373928.81,Draft
21,46,2026-03-03,2026-05-02,220746.83,Paid
22,112,2026-06-01,2026-06-16,295258.68,Sent
23,77,2025-11-09,2025-11-24,47417.67,Draft
24,34,2026-04-23,2026-06-22,234057.4,Cancelled
25,86,2026-04-25,2026-05-10,394523.12,Draft
26,55,2025-10-28,2025-11-27,47249.03,Paid
27,19,2025-11-26,2025-12-11,445369.24,Overdue
28,80,2026-02-27,2026-04-13,459399.51,Cancelled
29,15,2026-06-21,2026-07-21,97549.9,Overdue
30,88,2026-03-03,2026-03-18,375759.0,Sent
31,138,2025-09-22,2025-11-06,190605.4,Sent
32,10,2026-02-24,2026-03-26,418880.1,Cancelled
33,39,2025-07-31,2025-08-15,427495.88,Paid
34,51,2026-07-23,2026-08-07,422528.13,Sent
35,20,2025-08-13,2025-09-27,326733.05,Overdue
36,70,2026-01-18,2026-03-19,188700.94,Overdue
37,123,2026-05-07,2026-06-06,395933.57,Cancelled
38,3,2025-08-11,2025-08-26,121719.71,Draft
39,112,2026-02-09,2026-03-26,295258.68,Cancelled
40,122,2026-01-21,2026-03-07,345286.15,Paid
41,57,2026-05-18,2026-06-17,145889.59,Cancelled
42,42,2026-05-26,2026-07-25,462390.35,Overdue
43,121,2026-01-11,2026-01-26,19999.05,Paid
44,40,2025-10-26,2025-12-25,71206.54,Cancelled
45,24,2026-02-19,2026-03-06,100822.14,Cancelled
46,59,2025-08-03,2025-09-17,331479.6,Draft
47,101,2026-04-23,2026-06-07,19030.43,Cancelled
48,121,2026-07-12,2026-08-26,19999.05,Overdue
49,74,2025-09-16,2025-11-15,156243.77,Sent
50,68,2025-11-15,2026-01-14,116514.6,Overdue
51,123,2026-03-24,2026-04-08,395933.57,Overdue
52,25,2025-09-01,2025-10-16,159082.66,Draft
53,74,2026-01-21,2026-02-20,156243.77,Sent
