license_id,product_id,license_type,duration_months,max_users
1,6,Perpetual,,
2,6,Perpetual,,25
3,48,Perpetual,,100
4,9,Monthly,1,50
5,38,Perpetual,,50
6,43,Monthly,1,1
7,23,Trial,3,
8,47,Trial,3,1
9,39,Monthly,1,10
10,7,Monthly,1,50
11,10,Annual,12,100
12,15,Trial,3,
13,23,Perpetual,,
14,8,Monthly,1,
15,37,Monthly,1,5
16,36,Trial,3,
17,39,Perpetual,,100
18,2,Monthly,1,5
19,45,Monthly,1,
20,22,Monthly,1,10
21,12,Perpetual,,
22,37,Annual,12,100
23,5,Trial,3,5
24,6,Perpetual,,100
25,25,Annual,12,25
26,22,Trial,3,5
27,20,Monthly,1,100
28,50,Monthly,1,50
29,4,Perpetual,,5
30,49,Annual,12,50
31,44,Perpetual,,1
32,29,Monthly,1,100
33,32,Trial,3,50
34,27,Trial,3,10
35,49,Annual,12,50
36,23,Perpetual,,25
37,19,Perpetual,,100
38,34,Trial,3,100
39,3,Monthly,1,5
40,39,Trial,3,1
