opportunity_id,customer_id,sales_rep_id,stage,value,close_date,probability
1,81,5,Qualification,309142.0,2025-09-14,0.25
2,65,3,Prospecting,297945.18,2026-09-06,0.1
3,20,3,Closed Won,331072.77,2026-05-25,1.0
4,78,6,Closed Lost,422052.35,2026-05-17,0.0
5,6,1,Closed Won,45205.31,2025-11-26,1.0
6,99,10,Closed Lost,136004.67,2026-03-24,0.0
7,99,10,Qualification,211210.46,2026-05-16,0.25
8,4,8,Closed Lost,445053.46,2026-02-09,0.0
9,38,5,Closed Won,244057.68,2025-12-23,1.0
10,52,5,Closed Lost,229504.35,2025-12-28,0.0
11,8,3,Closed Lost,222604.72,2026-03-14,0.0
12,60,4,Negotiation,173395.32,2026-02-15,0.75
13,41,6,Qualification,368428.88,2026-07-21,0.25
14,52,3,Proposal,381529.17,2025-12-17,0.5
15,72,2,Closed Won,162962.36,2025-12-01,1.0
16,16,5,Negotiation,227550.03,2026-05-23,0.75
17,13,1,Qualification,148654.94,2026-03-03,0.25
18,79,7,Negotiation,127893.79,2026-05-13,0.75
19,42,10,Qualification,361958.57,2026-01-05,0.25
20,98,3,Qualification,251641.44,2026-05-14,0.25
21,60,8,Closed Won,440142.45,2026-02-14,1.0
22,3,2,Negotiation,472890.24,2025-10-24,0.75
23,59,4,Closed Won,111496.49,2026-03-29,1.0
24,7,1,Proposal,144271.39,2025-08-27,0.5
25,84,8,Closed Won,146445.45,2026-07-05,1.0
26,14,7,Prospecting,71297.8,2027-02-25,0.1
27,94,6,Proposal,383109.1,2026-01-24,0.5
28,6,7,Proposal,30323.06,2026-03-03,0.5
29,25,6,Closed Won,278845.35,2026-01-15,1.0
30,50,9,Prospecting,227925.42,2027-02-18,0.1
31,36,10,Closed Won,341797.33,2026-05-26,1.0
32,17,2,Prospecting,199982.34,2026-10-03,0.1
33,72,6,Proposal,378707.76,2026-07-14,0.5
34,78,9,Qualification,203686.61,2025-08-24,0.25
35,6,1,Prospecting,72833.0,2026-09-08,0.1
36,61,9,Proposal,231209.34,2026-05-23,0.5
37,66,3,Closed Won,167343.09,2026-05-08,1.0
38,41,3,Closed Won,199512.52,2025-12-15,1.0
39,95,5,Closed Won,298893.7,2026-01-26,1.0
40,66,9,Closed Won,247474.09,2026-03-28,1.0
41,39,8,Closed Won,408795.67,2025-09-01,1.0
42,43,2,Proposal,490049.53,2026-05-25,0.5
43,40,1,Closed Won,300470.26,2026-06-19,1.0
44,84,10,Proposal,290929.03,2026-06-25,0.5
45,7,10,Closed Lost,242822.15,2026-03-19,0.0
46,81,10,Closed Won,388430.03,2025-07-30,1.0
47,19,4,Negotiation,20627.4,2025-09-21,0.75
48,15,4,Closed Lost,14374.0,2025-09-22,0.0
49,54,3,Proposal,209415.25,2026-02-09,0.5
50,53,9,Qualification,388611.29,2025-12-19,0.25
51,95,1,Negotiation,354358.74,2026-02-26,0.75
52,27,9,Closed Won,165899.52,2025-10-09,1.0
53,62,9,Closed Lost,191528.26,2026-04-05,0.0
54,59,9,Qualification,174451.87,2025-11-22,0.25
55,87,5,Proposal,306987.91,2026-02-23,0.5
56,32,5,Qualification,281252.89,2026-06-29,0.25
57,39,5,Qualification,353925.96,2025-11-18,0.25
58,91,8,Closed Lost,161935.17,2026-07-10,0.0
59,72,5,Proposal,147455.74,2026-01-05,0.5
60,87,9,Closed Won,192948.62,2026-07-24,1.0
61,45,3,Negotiation,148774.06,2025-12-03,0.75
62,92,2,Proposal,176449.94,2025-08-31,0.5
63,84,5,Negotiation,374932.56,2025-08-01,0.75
64,26,9,Qualification,139210.7,2026-07-26,0.25
65,90,5,Closed Won,72950.11,2025-12-24,1.0
66,95,10,Closed Won,123444.62,2025-09-14,1.0
67,86,9,Prospecting,116707.46,2026-11-15,0.1
68,7,2,Qualification,209584.18,2025-12-12,0.25
69,61,2,Closed Lost,342190.03,2026-02-15,0.0
70,1,9,Qualification,489065.8,2025-08-18,0.25
71,53,8,Qualification,241337.02,2026-04-13,0.25
72,97,5,Qualification,163978.01,2026-05-26,0.25
73,8,2,Closed Lost,327887.87,2025-12-08,0.0
74,69,1,Qualification,457048.71,2026-06-10,0.25
75,54,3,Qualification,467291.69,2026-06-11,0.25
76,51,8,Prospecting,97224.26,2026-10-24,0.1
77,38,1,Closed Lost,9587.25,2026-04-13,0.0
78,78,2,Closed Won,464585.15,2025-12-21,1.0
79,37,8,Proposal,494604.24,2025-11-23,0.5
80,68,8,Closed Won,445183.68,2025-12-17,1.0
81,65,8,Qualification,140054.36,2025-12-16,0.25
82,43,3,Prospecting,366904.02,2027-02-14,0.1
83,33,3,Closed Lost,11971.68,2026-03-29,0.0
84,38,10,Proposal,338828.56,2026-01-19,0.5
85,23,10,Qualification,428792.52,2025-10-06,0.25
86,55,9,Negotiation,167323.7,2025-12-17,0.75
87,86,2,Negotiation,96466.69,2026-07-03,0.75
88,62,6,Qualification,468233.57,2026-06-02,0.25
89,34,7,Prospecting,121583.02,2026-09-25,0.1
90,43,5,Proposal,293318.07,2026-07-30,0.5
91,2,5,Closed Won,328573.27,2026-04-01,1.0
92,31,1,Closed Lost,335554.13,2025-09-17,0.0
93,40,3,Negotiation,205681.22,2025-08-25,0.75
94,91,5,Closed Won,346693.74,2025-08-04,1.0
95,38,6,Closed Lost,309239.6,2026-04-20,0.0
96,18,8,Qualification,80826.85,2026-01-24,0.25
97,78,6,Closed Lost,210843.58,2026-01-05,0.0
98,61,9,Closed Won,401987.52,2026-07-27,1.0
99,98,4,Qualification,341769.25,2025-08-29,0.25
100,11,9,Closed Won,226140.25,2026-03-22,1.0
101,47,2,Closed Lost,459036.13,2025-12-29,0.0
102,8,9,Prospecting,451929.64,2027-01-13,0.1
103,74,9,Qualification,79176.93,2026-05-14,0.25
104,67,8,Proposal,62538.81,2026-03-08,0.5
105,92,10,Qualification,246969.84,2026-01-01,0.25
106,58,1,Closed Won,229448.99,2025-10-03,1.0
107,54,8,Closed Won,284136.04,2026-02-01,1.0
108,60,5,Closed Won,363023.64,2026-02-17,1.0
109,33,1,Negotiation,374173.22,2026-01-10,0.75
110,10,1,Closed Won,214730.21,2025-12-07,1.0
111,9,9,Closed Lost,497091.21,2025-10-05,0.0
112,61,1,Prospecting,147109.9,2027-03-08,0.1
113,99,3,Qualification,384084.7,2026-02-26,0.25
114,83,7,Closed Lost,190358.16,2026-06-04,0.0
115,58,7,Negotiation,190944.54,2025-10-24,0.75
116,85,9,Closed Lost,70829.95,2026-01-29,0.0
117,16,3,Proposal,496459.15,2025-12-27,0.5
118,68,3,Negotiation,365289.78,2026-02-14,0.75
119,1,1,Qualification,489352.89,2025-12-11,0.25
120,87,9,Negotiation,214943.37,2026-07-23,0.75
121,30,4,Negotiation,233009.51,2026-02-22,0.75
122,36,4,Qualification,469018.13,2026-04-13,0.25
123,98,2,Closed Lost,20947.57,2025-09-09,0.0
124,54,10,Closed Lost,384196.47,2026-01-22,0.0
125,31,4,Prospecting,38309.0,2027-04-09,0.1
126,5,8,Closed Won,300903.52,2025-09-20,1.0
127,7,4,Closed Lost,371567.83,2026-04-23,0.0
128,57,4,Negotiation,272181.11,2026-07-24,0.75
129,18,9,Prospecting,496774.3,2027-07-25,0.1
130,94,10,Qualification,162857.33,2026-05-11,0.25
131,99,6,Closed Won,122267.5,2026-01-16,1.0
132,85,9,Qualification,114416.16,2025-08-27,0.25
133,36,1,Proposal,280575.47,2026-06-20,0.5
134,95,3,Closed Won,314866.6,2025-08-31,1.0
135,72,8,Negotiation,28207.63,2026-01-18,0.75
136,83,7,Proposal,393973.28,2026-04-27,0.5
137,90,7,Proposal,207088.29,2026-07-16,0.5
138,49,3,Proposal,378435.97,2025-08-27,0.5
139,31,4,Negotiation,153864.53,2026-03-18,0.75
140,19,8,Closed Lost,457796.88,2026-05-18,0.0
141,53,7,Closed Won,280856.95,2025-11-21,1.0
142,50,4,Qualification,131222.84,2025-08-18,0.25
143,83,2,Proposal,461501.92,2025-12-02,0.5
144,12,9,Proposal,363669.43,2026-05-10,0.5
145,7,5,Qualification,191698.15,2026-01-17,0.25
146,78,1,Closed Won,437442.13,2026-02-02,1.0
147,98,10,Qualification,363531.09,2026-01-17,0.25
148,28,8,Closed Won,108400.1,2026-04-24,1.0
149,39,1,Proposal,109844.85,2025-12-31,0.5
150,95,2,Qualification,374705.22,2026-07-16,0.25
151,32,10,Negotiation,353365.45,2026-05-18,0.75
152,31,9,Negotiation,164199.43,2025-11-12,0.75
153,49,8,Proposal,269156.81,2025-08-11,0.5
154,40,5,Proposal,183024.09,2026-07-02,0.5
155,60,2,Negotiation,402394.23,2026-04-30,0.75
156,61,6,Closed Lost,457593.6,2026-04-22,0.0
157,41,7,Proposal,27629.15,2026-02-21,0.5
158,95,3,Qualification,13028.85,2025-08-21,0.25
159,75,10,Closed Won,361405.91,2026-01-19,1.0
160,20,4,Proposal,168283.32,2025-09-29,0.5
161,73,4,Negotiation,252154.23,2025-08-17,0.75
162,88,6,Closed Lost,132376.75,2026-07-27,0.0
163,93,8,Negotiation,233110.35,2026-05-22,0.75
164,46,3,Closed Lost,74279.47,2026-03-15,0.0
165,63,3,Closed Won,458865.2,2025-11-11,1.0
166,83,1,Closed Won,264352.49,2025-08-29,1.0
167,86,1,Prospecting,383347.73,2027-01-31,0.1
168,18,4,Negotiation,38644.13,2026-06-06,0.75
169,2,4,Qualification,255337.8,2025-11-08,0.25
170,8,10,Proposal,320675.65,2025-09-16,0.5
171,62,8,Closed Won,12787.22,2025-11-09,1.0
