order_line_id,order_id,line_number,product_id,quantity,unit_price,line_total
1,24,1,42,35,3080.8,107827.95
2,95,2,25,24,38110.2,914644.92
3,12,3,17,29,40655.76,1179017.15
4,58,1,18,37,5720.34,211652.57
5,25,2,6,43,3830.29,164702.66
6,139,3,27,49,4875.21,238885.16
7,142,1,4,25,38459.64,961491.08
8,108,2,35,44,10891.71,479235.23
9,122,3,37,16,5319.01,85104.13
10,21,1,26,46,2214.8,101880.78
11,147,2,34,37,46257.67,1711533.69
12,38,3,8,49,29816.24,1460995.58
13,43,1,14,13,25210.77,327739.95
14,109,2,6,44,3911.07,172086.98
15,38,3,39,17,11780.55,200269.4
16,18,1,6,25,4017.74,100443.45
17,142,2,21,18,43732.37,787182.61
18,4,3,45,40,29211.21,1168448.29
19,108,1,8,27,27809.76,750863.45
20,146,2,38,38,37690.38,1432234.59
21,26,3,7,37,7249.93,268247.37
22,74,1,35,23,10916.33,251075.49
23,68,2,25,42,40832.0,1714944.01
24,122,3,3,12,7469.2,89630.4
25,37,1,40,39,22537.35,878956.51
26,103,2,3,26,8542.14,222095.77
27,85,3,45,16,25783.7,412539.17
28,122,1,18,24,5662.02,135888.57
29,78,2,20,18,22938.05,412884.83
30,26,3,15,9,11100.43,99903.83
31,114,1,50,21,29456.98,618596.64
32,107,2,39,42,11152.05,468386.08
33,114,3,14,27,28966.91,782106.5
34,133,1,24,4,1570.16,6280.63
35,41,2,5,20,7258.11,145162.12
36,104,3,9,50,21700.45,1085022.28
37,146,1,2,12,31416.33,376995.91
38,52,2,4,16,32191.25,515059.95
39,13,3,24,46,1460.22,67169.9
40,95,1,30,33,9897.39,326613.71
41,32,2,44,2,25969.76,51939.51
42,126,3,39,29,11392.85,330392.57
43,122,1,38,36,34453.79,1240336.33
44,42,2,17,48,43986.6,2111356.79
45,24,3,19,2,40133.06,80266.12
46,42,1,37,50,5899.66,294983.13
47,57,2,42,15,3284.55,49268.2
48,69,3,42,27,3169.1,85565.69
49,3,1,31,9,45596.22,410365.96
50,3,2,15,17,11895.08,202216.44
51,79,3,46,46,23700.99,1090245.31
52,109,1,25,23,40589.98,933569.6
53,56,2,30,20,10528.23,210564.56
54,102,3,38,7,31741.59,222191.14
55,96,1,36,42,588.33,24710.01
56,73,2,20,44,19457.95,856150.02
57,17,3,22,18,12613.79,227048.15
58,71,1,17,42,42896.0,1801631.9
59,77,2,13,10,39138.59,391385.91
60,62,3,4,39,35152.72,1370956.12
61,82,1,44,9,28904.38,260139.38
62,128,2,19,17,44893.75,763193.68
63,104,3,25,48,36733.26,1763196.42
64,147,1,13,22,40951.62,900935.69
65,57,2,44,35,28396.42,993874.83
66,122,3,43,23,22327.71,513537.43
67,44,1,43,36,20711.93,745629.62
68,25,2,31,9,46514.03,418626.25
69,144,3,49,12,15801.6,189619.21
70,86,1,42,6,2964.75,17788.49
71,58,2,48,20,18551.64,371032.72
72,85,3,24,17,1594.6,27108.28
73,119,1,8,31,27166.62,842165.35
