order_id,customer_id,sales_rep_id,order_date,total_amount,status
1,87,9,2026-01-25,193408.88,Shipped
2,51,6,2025-08-22,20598.87,Pending
3,99,6,2026-02-12,121719.71,Shipped
4,72,2,2025-11-19,162956.0,Cancelled
5,41,3,2026-02-10,196872.73,Shipped
6,84,8,2026-05-31,152219.33,Pending
7,40,1,2026-01-10,307704.98,Pending
8,38,5,2026-07-29,252811.76,Pending
9,81,10,2025-08-12,370794.59,Shipped
10,61,9,2025-08-19,418880.1,Confirmed
11,38,5,2026-05-14,245347.89,Delivered
12,40,1,2025-08-14,295115.94,Delivered
13,49,7,2025-09-11,95194.68,Pending
14,75,10,2026-05-21,356809.12,Cancelled
15,85,1,2026-03-31,97549.9,Confirmed
16,40,1,2026-01-13,309614.71,Pending
17,11,9,2026-04-04,216391.94,Delivered
18,90,5,2026-06-14,74945.5,Shipped
19,78,2,2025-09-22,445369.24,Delivered
20,20,3,2026-02-27,326733.05,Shipped
21,75,10,2026-07-03,371688.17,Cancelled
22,81,10,2025-08-12,387028.83,Cancelled
23,99,6,2025-09-19,128353.82,Confirmed
24,49,7,2026-03-26,100822.14,Confirmed
25,66,3,2026-01-18,159082.66,Delivered
26,6,1,2026-06-30,43998.32,Shipped
27,71,7,2025-08-15,11235.22,Pending
28,68,8,2026-04-12,422989.58,Delivered
29,85,7,2025-09-15,48496.01,Pending
30,39,8,2025-10-01,410014.47,Confirmed
31,58,1,2025-08-17,229266.09,Pending
32,66,3,2025-11-19,170884.95,Pending
33,38,5,2026-05-16,254339.21,Cancelled
34,58,1,2026-01-12,234057.4,Shipped
35,10,1,2025-09-30,224920.33,Pending
36,63,3,2026-03-03,440307.64,Confirmed
37,71,7,2026-05-25,11213.91,Pending
38,63,3,2025-09-06,461977.26,Delivered
39,68,5,2026-01-27,427495.88,Confirmed
40,90,5,2026-05-18,71206.54,Shipped
41,11,9,2025-10-18,230679.46,Shipped
42,78,2,2026-05-20,462390.35,Confirmed
43,60,8,2026-01-01,459665.17,Confirmed
44,63,3,2026-05-23,440922.32,Pending
45,41,3,2026-07-24,198506.31,Shipped
46,58,1,2026-04-04,220746.83,Shipped
47,39,8,2025-11-25,406830.06,Delivered
48,27,9,2026-07-22,171747.18,Pending
49,41,3,2026-02-25,205649.46,Shipped
50,51,6,2025-09-18,20051.85,Pending
51,39,8,2026-06-01,422528.13,Shipped
52,66,3,2026-05-16,160502.32,Confirmed
53,2,5,2026-05-05,325164.14,Pending
54,85,1,2026-03-04,91894.0,Confirmed
55,6,1,2025-11-29,47249.03,Delivered
56,28,8,2025-09-12,111089.27,Confirmed
57,84,8,2025-09-19,145889.59,Confirmed
58,25,6,2025-12-28,265236.5,Confirmed
59,36,10,2026-04-10,331479.6,Delivered
60,91,5,2026-02-17,353152.13,Pending
61,63,3,2026-01-06,462816.89,Pending
62,6,1,2026-07-03,47452.74,Confirmed
63,93,5,2025-08-13,268661.93,Confirmed
64,59,4,2025-09-04,116012.97,Shipped
65,25,6,2026-06-05,266093.65,Delivered
66,72,2,2026-03-11,157551.83,Cancelled
67,54,8,2026-05-10,293276.28,Delivered
68,99,6,2025-08-04,116514.6,Delivered
69,95,5,2026-01-24,294528.16,Confirmed
70,87,9,2025-08-01,188700.94,Confirmed
71,38,5,2025-10-03,246842.54,Cancelled
72,81,10,2025-08-31,394150.77,Delivered
73,58,1,2026-03-25,238231.81,Delivered
74,72,2,2026-06-19,156243.77,Delivered
75,36,10,2025-12-29,339036.8,Cancelled
76,81,10,2026-05-21,393508.92,Cancelled
77,6,1,2026-05-08,47417.67,Shipped
78,5,8,2026-04-09,302243.08,Delivered
79,2,5,2025-10-13,342132.73,Cancelled
80,78,2,2026-03-21,459399.51,Confirmed
81,6,1,2026-02-06,44386.54,Confirmed
82,6,1,2025-12-27,46994.38,Shipped
83,72,2,2026-07-08,167992.26,Delivered
84,53,7,2026-03-10,276852.85,Cancelled
85,40,1,2025-08-12,314711.95,Pending
86,81,10,2025-10-03,394523.12,Shipped
87,78,1,2026-01-28,451277.78,Pending
88,38,4,2026-07-12,375759.0,Confirmed
89,75,10,2026-03-16,373928.81,Delivered
90,2,5,2026-05-12,342872.98,Confirmed
91,95,5,2025-12-04,291019.38,Shipped
92,85,7,2025-07-31,48355.71,Cancelled
93,6,1,2025-10-24,46125.03,Shipped
94,75,10,2025-09-11,363704.69,Cancelled
95,66,9,2026-02-09,255806.46,Delivered
96,78,1,2025-09-03,429089.31,Delivered
97,38,5,2025-12-09,234057.6,Confirmed
98,83,1,2026-05-04,256919.13,Cancelled
99,5,8,2026-02-12,285878.91,Cancelled
100,66,9,2025-10-18,255057.82,Shipped
101,51,6,2026-05-07,19030.43,Shipped
102,72,2,2026-03-28,155171.34,Cancelled
103,51,6,2025-11-08,20485.16,Pending
104,53,7,2025-10-08,290986.6,Pending
105,91,5,2026-05-17,353784.94,Delivered
106,63,3,2026-04-06,440557.95,Shipped
107,78,2,2026-07-19,447695.23,Confirmed
108,49,7,2026-01-19,101289.88,Delivered
109,93,5,2025-10-02,265253.53,Cancelled
110,31,10,2026-04-01,434443.24,Cancelled
111,2,5,2025-08-14,319479.58,Cancelled
112,95,5,2026-03-23,295258.68,Shipped
113,36,10,2025-11-11,330781.49,Pending
114,31,10,2026-01-05,436914.43,Delivered
115,75,10,2025-11-29,344505.95,Cancelled
116,78,2,2026-05-20,484145.96,Cancelled
117,40,1,2026-05-03,304666.23,Pending
118,99,6,2025-08-14,117873.74,Pending
119,81,10,2026-04-26,382479.68,Shipped
120,41,3,2026-07-03,202229.62,Pending
121,51,6,2025-10-02,19999.05,Shipped
122,60,5,2026-05-13,345286.15,Confirmed
123,81,10,2026-01-23,395933.57,Shipped
124,27,9,2025-09-10,170661.17,Pending
125,72,2,2026-06-22,161103.56,Delivered
126,41,3,2026-04-20,207184.81,Delivered
127,61,9,2026-03-03,396007.2,Delivered
128,84,8,2025-11-26,151260.68,Cancelled
129,93,5,2025-10-10,277167.85,Confirmed
130,41,3,2026-04-03,198540.64,Pending
131,90,5,2025-11-26,69449.07,Shipped
132,84,8,2026-05-11,140209.81,Confirmed
133,61,9,2025-11-26,388356.3,Pending
134,28,8,2025-09-03,113189.59,Pending
135,68,8,2026-04-26,449369.77,Cancelled
136,5,8,2026-06-13,307057.14,Delivered
137,93,5,2025-12-14,261138.91,Delivered
138,41,3,2025-10-18,190605.4,Shipped
139,39,8,2026-01-18,428188.87,Delivered
140,31,10,2026-01-23,420414.75,Cancelled
141,27,9,2026-06-20,168563.83,Shipped
142,81,10,2025-09-21,372734.19,Delivered
143,75,10,2026-07-04,363200.75,Delivered
144,66,3,2026-01-12,159888.04,Pending
145,54,8,2025-12-18,272419.08,Cancelled
146,5,8,2025-09-17,291866.63,Pending
147,39,8,2026-04-19,395339.43,Shipped
148,59,4,2026-03-18,111201.81,Pending
149,95,10,2026-07-22,126961.27,Delivered
150,99,6,2025-10-12,127095.57,Shipped
