tier_id,product_id,min_quantity,max_quantity,unit_price
1,9,1,5,1414.83
2,48,10,60,1619.11
3,15,25,100,598.76
4,5,50,500,3131.09
5,5,25,50,1868.43
6,27,10,80,2248.08
7,11,10,30,1476.88
8,6,50,450,3007.63
9,34,25,75,1037.4
10,15,1,8,3333.33
11,34,10,40,375.47
12,47,50,250,3915.61
13,13,100,400,1148.79
14,12,5,20,3006.96
15,38,100,900,1920.21
16,10,25,175,3438.35
17,18,25,75,1899.36
18,30,50,100,1699.45
19,5,25,50,281.07
20,30,100,300,2563.17
21,3,50,500,3654.72
22,10,25,125,1392.48
23,22,1,9,440.32
24,16,100,300,2332.71
25,40,100,900,4058.74
26,27,5,35,1694.34
27,5,10,20,3126.85
28,17,10,30,2418.44
29,10,100,400,1394.26
30,26,10,60,3754.17
31,22,5,15,1383.84
32,33,5,50,436.51
33,14,10,20,1698.32
34,10,10,90,728.58
35,50,1,6,3918.66
36,50,50,500,246.72
37,12,50,200,2758.47
38,24,100,400,3412.41
39,49,100,500,3867.94
40,31,100,900,1109.75
41,29,5,35,2764.28
42,27,25,150,3225.22
43,17,5,25,3685.56
44,7,1,9,3556.35
45,49,100,1000,3752.82
46,28,5,30,1891.19
47,2,1,5,2989.6
48,25,25,50,1749.53
49,7,1,7,1044.6
50,19,100,700,3642.04
51,40,25,100,3179.6
52,10,1,3,173.05
53,16,50,500,1643.41
54,40,10,30,282.22
55,39,25,75,465.5
56,46,50,100,2577.2
57,16,5,30,1754.46
58,34,50,400,796.91
59,33,10,30,3884.05
60,41,50,100,1675.94
61,5,25,175,1270.29
62,50,10,50,2927.05
63,22,50,350,649.64
64,45,100,400,3246.85
65,50,25,100,3808.22
66,13,25,50,1444.13
67,35,1,7,3837.68
68,19,25,150,220.28
69,8,10,20,3764.95
70,25,10,80,3407.05
71,34,10,40,2089.97
72,39,10,30,3407.29
73,21,5,50,1423.0
74,28,100,600,1280.41
75,23,5,45,1712.15
76,4,50,400,1018.94
77,44,1,8,1409.65
78,29,5,10,638.18
79,24,1,4,324.39
80,10,10,80,4476.29
81,49,100,900,4070.08
82,42,1,4,2291.52
83,12,10,50,4535.08
84,17,25,250,1616.12
85,45,10,90,917.7
86,29,25,125,516.44
87,21,5,45,3726.83
88,19,100,700,2906.11
89,41,10,40,2576.69
90,13,5,35,2384.59
91,36,5,25,3748.08
92,9,50,350,1683.35
93,46,50,150,359.04
94,37,100,900,2027.56
95,29,1,4,3840.24
96,50,25,250,1306.24
97,33,50,200,3544.44
98,11,1,3,2306.14
99,19,10,50,1283.39
100,18,1,6,754.9
