category_id,category_name,parent_category_id,description
1,Hardware,,Street two look listen along career.
2,Software,,Physical throughout Mr friend.
3,Cloud Services,,Until argue minute north question new.
4,Consulting,2,Decade rate son.
5,Support & Maintenance,3,At chance subject fund heart move.
6,Training,1,Number hope organization ten.
7,Security Solutions,2,Relate fire all including market.
8,Data Analytics,3,He stop few modern company.
9,AI/ML Tools,3,Size sing tree kitchen agent lot.
10,Integration Services,2,Child future low them financial force show.
