quote_id,opportunity_id,quote_date,valid_until,total_amount,status
1,23,2025-09-10,2025-10-29,103785.86,Sent
2,172,2025-09-29,2025-12-02,10467.83,Draft
3,24,2025-12-22,2026-01-06,157052.69,Rejected
4,90,2025-11-17,2026-01-05,269983.53,Draft
5,41,2026-04-29,2026-07-08,404613.17,Expired
6,131,2026-05-01,2026-07-07,112566.62,Draft
7,87,2026-02-09,2026-05-05,88615.54,Expired
8,182,2025-12-16,2026-02-10,258126.28,Draft
9,63,2026-04-14,2026-06-20,366519.04,Draft
10,170,2026-01-19,2026-04-15,346663.69,Sent
11,141,2025-09-21,2025-12-11,262296.96,Rejected
12,39,2026-06-13,2026-07-15,285079.97,Accepted
13,126,2025-08-03,2025-09-05,274620.63,Rejected
14,61,2026-07-04,2026-09-10,142815.73,Draft
15,90,2026-01-10,2026-02-26,319377.76,Rejected
16,146,2026-04-04,2026-05-14,433755.51,Sent
17,65,2026-07-17,2026-08-01,79498.45,Accepted
18,196,2026-04-05,2026-06-07,20860.61,Accepted
19,109,2025-08-14,2025-10-10,368980.91,Expired
20,33,2026-06-30,2026-08-22,365124.66,Sent
21,120,2026-03-20,2026-05-14,201085.42,Rejected
22,78,2026-07-14,2026-09-04,486408.98,Rejected
23,141,2026-01-04,2026-02-19,271076.74,Accepted
24,191,2026-07-01,2026-09-04,406863.22,Expired
25,43,2026-06-09,2026-09-07,330352.92,Sent
26,161,2025-11-29,2026-02-22,228296.21,Rejected
27,166,2025-11-04,2025-12-15,261098.57,Accepted
28,194,2025-09-03,2025-09-26,235479.85,Rejected
29,160,2026-03-26,2026-06-12,156139.29,Accepted
30,51,2025-12-20,2026-02-05,365603.46,Rejected
31,184,2026-05-08,2026-07-10,260806.6,Expired
32,120,2026-04-30,2026-07-28,210679.11,Expired
33,200,2026-04-24,2026-07-01,361113.62,Accepted
34,165,2026-03-02,2026-05-24,467475.34,Draft
35,27,2025-10-09,2025-11-24,395184.82,Accepted
36,39,2025-11-30,2025-12-20,302672.93,Rejected
37,174,2026-04-08,2026-06-04,445469.93,Rejected
38,27,2025-10-03,2025-10-19,352353.6,Sent
39,131,2026-02-15,2026-05-07,123685.64,Expired
40,47,2026-04-02,2026-06-13,20108.08,Rejected
41,178,2026-05-30,2026-08-28,196884.22,Sent
42,86,2025-08-03,2025-08-21,166747.14,Accepted
43,106,2025-09-03,2025-09-28,211830.49,Sent
44,86,2025-09-06,2025-10-30,162071.97,Sent
45,133,2026-01-09,2026-03-26,272062.83,Draft
46,109,2025-10-18,2025-12-29,360621.37,Accepted
47,15,2025-11-10,2025-12-09,147402.23,Accepted
48,154,2025-10-08,2025-11-05,189508.24,Sent
49,172,2025-08-07,2025-09-22,10900.99,Expired
50,38,2025-09-01,2025-10-28,201900.64,Rejected
51,49,2026-07-08,2026-09-12,214850.01,Sent
52,153,2026-03-27,2026-06-05,263535.87,Expired
53,43,2026-05-31,2026-08-11,306011.12,Rejected
54,3,2026-07-12,2026-08-23,311591.42,Draft
55,141,2026-03-20,2026-04-17,297680.41,Expired
56,41,2026-04-15,2026-06-15,394568.35,Rejected
57,28,2025-09-11,2025-10-29,31358.3,Rejected
58,134,2026-06-08,2026-08-02,320973.18,Expired
59,98,2025-09-15,2025-12-14,370972.74,Accepted
60,197,2026-03-27,2026-06-08,120696.58,Accepted
61,149,2026-06-24,2026-09-22,100722.28,Sent
62,78,2026-02-22,2026-03-24,440294.1,Draft
63,41,2026-07-18,2026-09-18,424610.87,Expired
64,94,2026-06-22,2026-08-29,353379.79,Expired
65,94,2026-04-10,2026-06-18,324904.29,Expired
66,163,2025-10-30,2025-12-06,235670.49,Rejected
67,62,2026-01-16,2026-02-17,165407.65,Rejected
68,151,2026-07-07,2026-07-28,379198.04,Draft
69,121,2026-03-20,2026-04-21,218801.92,Rejected
70,138,2026-07-02,2026-09-19,390021.39,Rejected
71,161,2025-11-08,2026-01-24,247899.4,Rejected
72,121,2026-01-02,2026-02-07,213561.17,Draft
73,184,2026-06-25,2026-08-07,273244.04,Accepted
74,47,2026-05-07,2026-07-29,19755.56,Rejected
75,139,2025-11-25,2026-02-11,155394.75,Draft
76,141,2025-09-27,2025-10-26,267818.95,Expired
77,192,2025-08-26,2025-10-26,170629.07,Draft
78,177,2026-05-10,2026-07-20,412318.47,Rejected
79,27,2025-12-17,2026-02-01,367609.19,Draft
80,110,2025-11-28,2026-01-15,208227.19,Draft
81,109,2025-08-20,2025-09-19,394800.02,Sent
82,44,2026-07-14,2026-10-12,301933.92,Expired
83,152,2025-11-03,2026-01-11,153230.3,Sent
84,182,2026-01-07,2026-02-17,255710.99,Draft
85,139,2026-01-25,2026-03-25,154857.9,Expired
86,135,2026-07-04,2026-08-09,27212.77,Accepted
87,63,2026-03-10,2026-06-06,357486.43,Expired
88,160,2025-10-03,2025-10-30,156018.46,Rejected
89,18,2026-01-26,2026-03-17,137282.41,Sent
90,165,2025-09-20,2025-10-21,435892.32,Accepted
91,194,2026-05-07,2026-06-22,232934.58,Rejected
92,121,2025-10-17,2025-11-19,236617.69,Accepted
93,152,2026-03-22,2026-05-29,160100.1,Draft
94,153,2026-06-29,2026-07-25,263927.13,Accepted
95,163,2026-04-17,2026-06-18,230998.17,Rejected
96,79,2025-09-05,2025-12-03,445388.46,Draft
97,171,2025-08-25,2025-11-06,13132.07,Accepted
98,197,2026-02-24,2026-03-19,124902.27,Rejected
99,46,2025-10-29,2026-01-06,413666.15,Rejected
100,60,2026-01-09,2026-03-06,205619.31,Accepted
101,137,2026-06-23,2026-09-19,191788.37,Rejected
102,182,2025-09-22,2025-11-19,259591.02,Draft
103,15,2026-03-21,2026-04-17,167074.86,Rejected
104,9,2026-07-06,2026-08-05,265018.96,Sent
105,109,2026-03-30,2026-06-11,336806.48,Rejected
106,43,2025-11-04,2025-12-05,323435.07,Accepted
107,38,2026-04-12,2026-06-01,183285.77,Accepted
108,55,2026-06-26,2026-07-21,299119.43,Sent
109,16,2026-02-25,2026-05-01,233266.28,Sent
110,107,2026-02-03,2026-03-01,295711.63,Draft
111,46,2026-07-09,2026-09-23,355641.77,Expired
112,47,2026-01-25,2026-04-16,21369.92,Draft
113,5,2026-01-05,2026-03-04,48072.31,Rejected
114,163,2026-06-03,2026-07-04,232070.69,Sent
115,94,2026-05-11,2026-06-06,362694.58,Draft
116,27,2026-05-13,2026-07-07,372961.44,Accepted
117,33,2026-02-12,2026-04-16,399420.08,Sent
118,154,2025-07-31,2025-09-02,167225.88,Expired
119,5,2026-07-14,2026-08-19,44663.75,Sent
120,152,2026-05-25,2026-06-28,177988.71,Expired
121,161,2026-01-22,2026-04-03,270307.44,Draft
122,25,2026-02-22,2026-03-26,153839.35,Expired
123,171,2026-07-07,2026-09-09,12407.53,Rejected
124,78,2025-12-08,2026-01-09,441150.21,Draft
125,52,2026-04-05,2026-06-29,169250.66,Expired
126,62,2025-12-23,2026-01-10,188727.05,Accepted
127,44,2026-03-18,2026-06-07,297150.66,Sent
128,173,2026-07-15,2026-09-18,259141.85,Draft
129,182,2025-09-01,2025-10-16,240376.49,Draft
130,51,2026-02-10,2026-04-29,364144.88,Draft
131,134,2026-07-16,2026-08-01,345527.21,Accepted
132,31,2025-08-28,2025-10-31,366462.38,Expired
133,106,2026-01-14,2026-03-16,231576.27,Sent
134,177,2026-05-06,2026-07-20,445662.76,Draft
135,9,2026-03-24,2026-06-22,222948.28,Accepted
136,46,2025-10-02,2025-10-22,421258.53,Rejected
137,128,2025-08-13,2025-10-03,279180.01,Expired
138,178,2025-12-17,2026-02-23,186761.58,Rejected
139,23,2025-10-07,2025-12-29,112336.18,Sent
140,61,2026-04-10,2026-05-05,143117.88,Expired
141,44,2026-06-23,2026-07-27,293046.42,Rejected
142,144,2026-03-17,2026-04-09,349862.32,Rejected
143,171,2025-12-08,2026-01-22,11656.59,Draft
144,108,2025-08-30,2025-09-28,359638.22,Expired
145,18,2026-03-18,2026-05-11,132141.9,Sent
146,29,2026-04-25,2026-05-11,290439.77,Draft
147,38,2025-09-19,2025-12-06,217589.0,Expired
148,133,2025-10-08,2025-11-25,261887.06,Sent
149,173,2026-04-19,2026-06-07,282777.76,Draft
150,178,2026-03-04,2026-03-22,183402.15,Rejected
