ticket_id,customer_id,created_date,resolved_date,priority,status,category
1,83,2026-07-30,,Medium,Open,Performance
2,81,2026-07-30,,Critical,In Progress,Data Issue
3,53,2026-07-30,2026-08-14,Low,Resolved,Data Issue
4,93,2026-07-30,2026-08-18,High,Resolved,Data Issue
5,3,2026-07-30,,Medium,Escalated,Data Issue
6,46,2026-07-30,2026-08-25,Low,Resolved,Feature Request
7,4,2026-07-30,2026-08-26,High,Resolved,Performance
8,22,2026-07-30,,Critical,Escalated,Feature Request
9,15,2026-07-30,,High,Escalated,Access
10,5,2026-07-30,2026-08-22,High,Resolved,Performance
11,64,2026-07-30,,Medium,Open,Configuration
12,39,2026-07-30,2026-08-26,Medium,Closed,Data Issue
13,15,2026-07-30,2026-08-05,High,Resolved,Bug
14,12,2026-07-30,,Critical,In Progress,Data Issue
15,62,2026-07-30,,Medium,Open,Feature Request
16,62,2026-07-30,2026-08-29,High,Resolved,Configuration
17,99,2026-07-30,,Low,In Progress,Data Issue
18,27,2026-07-30,,Low,In Progress,Performance
19,67,2026-07-30,2026-08-22,Low,Closed,Bug
20,6,2026-07-30,2026-08-29,Low,Resolved,Configuration
21,6,2026-07-30,2026-08-28,Low,Closed,Data Issue
22,74,2026-07-30,2026-07-31,High,Resolved,Access
23,42,2026-07-30,,Medium,In Progress,Feature Request
24,69,2026-07-30,2026-08-08,High,Resolved,Performance
25,35,2026-07-30,,Medium,Open,Feature Request
26,2,2026-07-30,2026-08-03,Low,Resolved,Feature Request
27,45,2026-07-30,,High,Escalated,Configuration
28,91,2026-07-30,,High,In Progress,Data Issue
29,22,2026-07-30,,Low,In Progress,Configuration
30,44,2026-07-30,,Critical,Escalated,Bug
31,4,2026-07-30,,Critical,In Progress,Access
32,14,2026-07-30,,Critical,Open,Bug
33,55,2026-07-30,,Critical,Open,Feature Request
34,76,2026-07-30,,Critical,Escalated,Data Issue
35,43,2026-07-30,2026-08-09,Medium,Resolved,Access
36,11,2026-07-30,,Critical,Escalated,Data Issue
37,12,2026-07-30,,Critical,In Progress,Bug
38,88,2026-07-30,2026-08-09,Critical,Closed,Performance
39,29,2026-07-30,,Medium,In Progress,Data Issue
40,47,2026-07-30,2026-08-29,Critical,Resolved,Feature Request
41,42,2026-07-30,2026-08-25,Critical,Resolved,Performance
42,9,2026-07-30,,Critical,Open,Bug
43,60,2026-07-30,2026-08-15,Medium,Resolved,Configuration
44,74,2026-07-30,2026-08-19,Medium,Resolved,Data Issue
45,52,2026-07-30,,Low,Open,Configuration
46,84,2026-07-30,,Low,Escalated,Configuration
47,60,2026-07-30,,Critical,Escalated,Data Issue
48,80,2026-07-30,2026-08-07,Medium,Closed,Data Issue
49,62,2026-07-30,,Critical,In Progress,Bug
50,89,2026-07-30,2026-08-06,Critical,Resolved,Performance
