segment_id,customer_id,segment_name,assigned_at
1,1,VIP,2024-11-22
2,2,VIP,2024-08-01
3,3,New,2024-10-04
4,4,Churned,2024-09-23
5,5,Regular,2024-09-30
6,6,Churned,2024-10-20
7,7,New,2024-08-28
8,8,Regular,2024-08-06
9,9,VIP,2024-08-12
10,10,VIP,2024-09-07
11,11,VIP,2024-07-12
12,12,Churned,2024-07-25
13,13,Regular,2024-11-13
14,14,Regular,2024-11-21
15,15,Regular,2024-08-08
16,16,At Risk,2024-10-10
17,17,VIP,2024-11-22
18,18,VIP,2024-09-30
19,19,Regular,2024-11-13
20,20,Regular,2024-11-01
21,21,VIP,2024-07-28
22,22,New,2024-11-03
23,23,New,2024-11-12
24,24,New,2024-09-17
25,25,At Risk,2024-08-29
26,26,At Risk,2024-08-04
27,27,Regular,2024-09-28
28,28,New,2024-11-21
29,29,Churned,2024-11-07
30,30,At Risk,2024-10-28
31,31,VIP,2024-06-02
32,32,Churned,2024-11-17
33,33,New,2024-10-22
34,34,Churned,2024-11-03
35,35,New,2024-08-16
36,36,VIP,2024-10-02
37,37,VIP,2024-08-26
38,38,New,2024-11-11
39,39,New,2024-08-10
40,40,New,2024-11-15
41,41,New,2024-07-19
42,42,Regular,2024-10-11
43,43,Regular,2024-06-15
44,44,Churned,2024-09-12
45,45,New,2024-11-22
46,46,Regular,2024-06-07
47,47,At Risk,2024-08-15
48,48,New,2024-09-16
49,49,At Risk,2024-09-08
50,50,VIP,2024-10-28
