inventory_id,product_id,warehouse_id,quantity,last_updated
1,1,3,423,2024-11-23 00:00:00
2,1,1,110,2024-11-27 00:00:00
3,2,3,75,2024-11-03 00:00:00
4,2,2,495,2024-11-12 00:00:00
5,3,4,262,2024-11-02 00:00:00
6,3,3,133,2024-11-27 00:00:00
7,4,2,15,2024-12-01 00:00:00
8,4,4,437,2024-11-15 00:00:00
9,5,2,48,2024-11-15 00:00:00
10,5,1,411,2024-11-26 00:00:00
11,6,2,62,2024-11-01 00:00:00
12,6,1,425,2024-11-25 00:00:00
13,7,2,66,2024-11-07 00:00:00
14,7,4,190,2024-11-22 00:00:00
15,8,1,298,2024-11-19 00:00:00
16,8,3,469,2024-11-27 00:00:00
17,9,1,11,2024-11-03 00:00:00
18,9,2,462,2024-11-21 00:00:00
19,10,4,414,2024-11-05 00:00:00
20,10,1,463,2024-11-28 00:00:00
21,11,3,62,2024-11-02 00:00:00
22,11,4,25,2024-11-06 00:00:00
23,12,4,420,2024-11-24 00:00:00
24,12,4,254,2024-11-01 00:00:00
25,13,4,349,2024-11-14 00:00:00
26,13,2,181,2024-11-07 00:00:00
27,14,2,140,2024-11-09 00:00:00
28,14,4,452,2024-11-05 00:00:00
29,15,1,314,2024-11-20 00:00:00
30,15,2,331,2024-11-10 00:00:00
31,16,4,210,2024-11-29 00:00:00
32,16,4,31,2024-11-03 00:00:00
33,17,3,196,2024-11-05 00:00:00
34,17,4,102,2024-11-21 00:00:00
35,18,2,322,2024-11-26 00:00:00
36,18,1,195,2024-11-26 00:00:00
37,19,3,245,2024-11-18 00:00:00
38,19,4,176,2024-11-30 00:00:00
39,20,3,198,2024-11-09 00:00:00
40,20,2,13,2024-11-11 00:00:00
41,21,2,15,2024-11-29 00:00:00
42,21,3,29,2024-11-26 00:00:00
43,22,4,271,2024-11-12 00:00:00
44,22,2,498,2024-11-06 00:00:00
45,23,1,126,2024-11-22 00:00:00
46,23,2,136,2024-11-18 00:00:00
47,24,1,391,2024-12-01 00:00:00
48,24,2,294,2024-11-28 00:00:00
49,25,4,181,2024-11-30 00:00:00
50,25,2,90,2024-11-08 00:00:00
51,26,3,412,2024-11-24 00:00:00
52,26,3,467,2024-11-19 00:00:00
53,27,1,360,2024-11-23 00:00:00
54,27,3,485,2024-11-19 00:00:00
55,28,2,288,2024-12-01 00:00:00
56,28,2,428,2024-11-26 00:00:00
57,29,4,277,2024-11-10 00:00:00
58,29,2,251,2024-11-02 00:00:00
59,30,1,28,2024-11-08 00:00:00
60,30,2,10,2024-11-17 00:00:00
