order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,9,1,35.99,3.6
2,1,7,1,199.99,0.0
3,2,25,2,99.99,10.0
4,2,21,3,79.99,24.0
5,3,22,3,19.99,6.0
6,3,30,2,34.99,0.0
7,3,29,1,14.99,0.75
8,3,19,1,29.99,1.5
9,4,21,3,79.99,0.0
10,4,10,2,79.99,16.0
11,4,26,1,59.99,0.0
12,4,9,2,35.99,3.6
13,5,2,2,799.99,0.0
14,6,21,1,79.99,8.0
15,7,15,3,89.99,0.0
16,7,19,2,29.99,6.0
17,7,18,3,12.99,0.0
18,7,26,2,59.99,12.0
19,8,17,1,9.99,0.0
20,8,5,3,89.99,0.0
21,8,2,3,799.99,0.0
22,8,15,1,89.99,0.0
23,9,15,2,89.99,0.0
24,9,17,2,9.99,1.0
25,9,20,2,249.99,0.0
26,9,6,3,129.99,39.0
27,10,26,3,59.99,0.0
28,11,11,1,59.99,6.0
29,12,10,3,79.99,24.0
30,12,9,1,35.99,0.0
31,12,24,1,69.99,7.0
32,12,28,3,49.99,0.0
33,13,10,3,79.99,12.0
34,13,21,1,79.99,8.0
35,13,23,3,9.99,0.0
36,14,18,2,12.99,0.0
37,14,13,3,149.99,45.0
38,14,21,1,79.99,4.0
39,15,1,1,999.99,0.0
40,15,12,2,39.99,4.0
41,15,10,1,79.99,0.0
42,16,5,2,89.99,0.0
43,16,3,3,49.99,15.0
44,17,22,2,19.99,4.0
45,18,20,1,249.99,0.0
46,18,13,1,149.99,15.0
47,19,24,1,69.99,3.5
48,19,15,2,89.99,0.0
49,20,20,2,249.99,0.0
50,20,10,3,79.99,0.0
51,20,25,2,99.99,10.0
52,20,24,1,69.99,0.0
53,21,15,3,89.99,27.0
54,21,25,2,99.99,0.0
55,21,10,1,79.99,8.0
56,21,13,1,149.99,0.0
57,22,21,2,79.99,0.0
58,23,23,3,9.99,0.0
59,24,3,2,49.99,5.0
60,24,25,3,99.99,0.0
61,24,6,2,129.99,0.0
62,25,27,2,19.99,0.0
63,25,15,2,89.99,0.0
64,26,17,1,9.99,0.0
65,26,12,1,39.99,0.0
66,26,8,2,24.99,0.0
67,26,13,3,149.99,0.0
68,27,5,2,89.99,9.0
69,27,2,3,799.99,0.0
70,28,15,1,89.99,0.0
71,28,20,2,249.99,0.0
72,28,1,1,999.99,100.0
73,28,29,3,14.99,4.5
74,29,4,2,349.99,0.0
75,29,25,1,99.99,0.0
76,29,10,2,79.99,16.0
77,29,8,2,24.99,0.0
78,30,27,2,19.99,4.0
79,31,21,3,79.99,24.0
80,32,23,2,9.99,1.0
81,32,5,1,89.99,9.0
82,33,8,1,24.99,0.0
83,33,19,3,29.99,0.0
84,33,14,1,29.99,3.0
85,34,13,2,149.99,0.0
86,35,12,2,39.99,0.0
87,35,9,2,35.99,0.0
88,35,24,3,69.99,0.0
89,35,1,3,999.99,0.0
90,36,2,3,799.99,0.0
91,36,12,3,39.99,0.0
92,37,23,1,9.99,0.0
93,37,16,3,14.99,2.25
94,37,21,1,79.99,0.0
95,37,6,1,129.99,0.0
96,38,29,2,14.99,0.0
97,38,2,3,799.99,120.0
98,39,9,1,35.99,0.0
99,39,2,2,799.99,0.0
100,39,25,3,99.99,0.0
101,39,21,2,79.99,0.0
102,40,14,3,29.99,4.5
103,40,29,2,14.99,0.0
104,40,13,1,149.99,7.5
105,41,12,2,39.99,0.0
106,41,30,3,34.99,5.25
107,41,26,1,59.99,3.0
108,41,17,3,9.99,0.0
109,42,11,2,59.99,0.0
110,42,4,2,349.99,35.0
111,42,3,3,49.99,7.5
112,43,23,2,9.99,1.0
113,43,15,1,89.99,0.0
114,44,9,1,35.99,1.8
115,44,21,2,79.99,16.0
116,44,26,3,59.99,0.0
117,44,2,1,799.99,0.0
118,45,2,3,799.99,0.0
119,45,5,2,89.99,9.0
120,45,3,3,49.99,0.0
121,45,8,3,24.99,0.0
122,46,12,3,39.99,0.0
123,46,15,3,89.99,0.0
124,46,25,2,99.99,0.0
125,46,3,3,49.99,0.0
126,47,4,3,349.99,0.0
127,47,1,2,999.99,200.0
128,48,30,2,34.99,3.5
129,48,18,1,12.99,1.3
130,48,4,2,349.99,35.0
131,48,9,1,35.99,0.0
132,49,28,2,49.99,0.0
133,49,3,3,49.99,7.5
134,50,26,3,59.99,0.0
135,51,23,3,9.99,0.0
136,51,3,2,49.99,0.0
137,51,18,3,12.99,0.0
138,52,17,1,9.99,0.0
139,52,8,1,24.99,1.25
140,52,4,1,349.99,0.0
141,53,15,1,89.99,9.0
142,53,26,1,59.99,0.0
143,53,18,2,12.99,1.3
144,54,17,3,9.99,0.0
145,54,14,1,29.99,0.0
146,54,25,3,99.99,0.0
147,54,27,2,19.99,2.0
148,55,5,3,89.99,27.0
149,55,29,1,14.99,0.0
150,55,27,2,19.99,4.0
151,56,27,1,19.99,2.0
152,57,10,1,79.99,0.0
153,57,6,3,129.99,0.0
154,58,17,1,9.99,0.0
155,58,29,1,14.99,1.5
156,58,10,2,79.99,0.0
157,59,20,3,249.99,0.0
158,59,18,3,12.99,3.9
159,59,3,1,49.99,0.0
