status_id,order_id,status,changed_at,changed_by
1,1,pending,2024-10-25 03:00:00,admin
2,1,confirmed,2024-10-26 11:00:00,customer
3,1,processing,2024-10-27 03:00:00,customer
4,2,pending,2024-11-11 12:00:00,admin
5,2,confirmed,2024-11-12 10:00:00,admin
6,2,processing,2024-11-13 08:00:00,admin
7,3,pending,2024-11-16 08:00:00,system
8,4,pending,2024-06-25 07:00:00,system
9,4,confirmed,2024-06-26 11:00:00,admin
10,5,pending,2024-10-22 12:00:00,system
11,5,confirmed,2024-10-23 10:00:00,admin
12,5,processing,2024-10-24 10:00:00,system
13,6,pending,2024-08-30 03:00:00,customer
14,7,pending,2024-09-16 12:00:00,admin
15,7,confirmed,2024-09-17 05:00:00,admin
16,8,pending,2024-08-15 07:00:00,system
17,8,confirmed,2024-08-16 07:00:00,system
18,8,processing,2024-08-17 10:00:00,customer
19,9,pending,2024-11-06 01:00:00,admin
20,9,confirmed,2024-11-07 03:00:00,customer
21,9,processing,2024-11-08 01:00:00,customer
22,10,pending,2024-10-14 04:00:00,admin
23,10,confirmed,2024-10-15 00:00:00,system
24,11,pending,2024-07-22 05:00:00,admin
25,12,pending,2024-09-26 02:00:00,admin
26,12,confirmed,2024-09-27 11:00:00,system
27,12,processing,2024-09-28 12:00:00,system
28,13,pending,2024-08-25 10:00:00,system
29,13,confirmed,2024-08-26 05:00:00,customer
30,14,pending,2024-06-02 07:00:00,admin
31,15,pending,2024-07-14 09:00:00,system
32,16,pending,2024-06-23 02:00:00,customer
33,16,confirmed,2024-06-24 06:00:00,customer
34,17,pending,2024-09-12 06:00:00,admin
35,17,confirmed,2024-09-13 06:00:00,system
36,18,pending,2024-10-15 03:00:00,customer
37,19,pending,2024-06-04 05:00:00,customer
38,19,confirmed,2024-06-05 03:00:00,system
39,20,pending,2024-06-02 10:00:00,customer
40,20,confirmed,2024-06-03 03:00:00,system
41,20,processing,2024-06-04 11:00:00,admin
42,21,pending,2024-07-04 01:00:00,admin
43,21,confirmed,2024-07-05 08:00:00,customer
44,22,pending,2024-07-13 01:00:00,system
45,22,confirmed,2024-07-14 04:00:00,admin
46,23,pending,2024-10-12 09:00:00,customer
47,23,confirmed,2024-10-13 05:00:00,admin
48,24,pending,2024-07-05 05:00:00,admin
49,24,confirmed,2024-07-06 05:00:00,system
50,24,processing,2024-07-07 02:00:00,admin
51,25,pending,2024-07-29 03:00:00,customer
52,26,pending,2024-07-25 11:00:00,system
53,27,pending,2024-10-08 02:00:00,system
54,27,confirmed,2024-10-09 05:00:00,customer
55,27,processing,2024-10-10 10:00:00,system
56,28,pending,2024-11-11 04:00:00,customer
57,28,confirmed,2024-11-12 09:00:00,system
58,29,pending,2024-06-13 10:00:00,system
59,29,confirmed,2024-06-14 10:00:00,system
60,29,processing,2024-06-15 00:00:00,customer
61,30,pending,2024-09-15 07:00:00,admin
62,31,pending,2024-10-19 04:00:00,admin
63,32,pending,2024-07-10 03:00:00,customer
64,32,confirmed,2024-07-11 10:00:00,customer
65,32,processing,2024-07-12 00:00:00,admin
66,33,pending,2024-11-17 01:00:00,customer
67,33,confirmed,2024-11-18 08:00:00,admin
68,34,pending,2024-11-03 11:00:00,system
69,34,confirmed,2024-11-04 06:00:00,system
70,34,processing,2024-11-05 08:00:00,customer
71,35,pending,2024-07-01 04:00:00,system
72,35,confirmed,2024-07-02 12:00:00,system
73,35,processing,2024-07-03 07:00:00,system
74,36,pending,2024-07-22 12:00:00,admin
75,36,confirmed,2024-07-23 08:00:00,system
76,36,processing,2024-07-24 05:00:00,customer
77,37,pending,2024-08-15 02:00:00,system
78,37,confirmed,2024-08-16 08:00:00,admin
79,38,pending,2024-11-24 07:00:00,admin
80,39,pending,2024-06-01 00:00:00,customer
81,40,pending,2024-06-29 09:00:00,customer
82,41,pending,2024-07-09 01:00:00,customer
83,41,confirmed,2024-07-10 01:00:00,customer
84,42,pending,2024-06-26 04:00:00,customer
85,42,confirmed,2024-06-27 03:00:00,admin
86,42,processing,2024-06-28 04:00:00,admin
87,43,pending,2024-06-13 01:00:00,system
88,43,confirmed,2024-06-14 00:00:00,admin
89,44,pending,2024-11-21 05:00:00,admin
90,44,confirmed,2024-11-22 11:00:00,system
91,45,pending,2024-06-12 00:00:00,system
92,46,pending,2024-11-13 02:00:00,admin
93,46,confirmed,2024-11-14 05:00:00,admin
94,46,processing,2024-11-15 09:00:00,admin
95,47,pending,2024-06-24 05:00:00,admin
96,47,confirmed,2024-06-25 02:00:00,system
97,47,processing,2024-06-26 06:00:00,admin
98,48,pending,2024-08-09 06:00:00,customer
99,48,confirmed,2024-08-10 07:00:00,admin
100,49,pending,2024-07-13 01:00:00,system
101,49,confirmed,2024-07-14 11:00:00,customer
102,49,processing,2024-07-15 00:00:00,system
103,50,pending,2024-09-15 09:00:00,admin
104,51,pending,2024-11-21 07:00:00,system
105,51,confirmed,2024-11-22 09:00:00,admin
106,51,processing,2024-11-23 12:00:00,admin
107,52,pending,2024-06-08 10:00:00,customer
108,52,confirmed,2024-06-09 02:00:00,admin
109,52,processing,2024-06-10 07:00:00,system
110,53,pending,2024-09-21 00:00:00,system
111,53,confirmed,2024-09-22 04:00:00,customer
112,54,pending,2024-06-04 11:00:00,customer
113,54,confirmed,2024-06-05 08:00:00,customer
114,55,pending,2024-10-23 03:00:00,customer
115,55,confirmed,2024-10-24 05:00:00,customer
116,55,processing,2024-10-25 08:00:00,customer
117,56,pending,2024-11-06 01:00:00,admin
118,56,confirmed,2024-11-07 10:00:00,customer
119,56,processing,2024-11-08 03:00:00,admin
120,57,pending,2024-11-17 10:00:00,customer
