order_id,customer_id,order_date,status,total_amount,shipping_address_id
1,47,2024-07-13,returned,1003.91,12
2,6,2024-11-12,processing,139.98,66
3,25,2024-08-23,completed,499.93,55
4,2,2024-10-17,completed,204.95,1
5,13,2024-06-06,shipped,319.95,46
6,37,2024-07-26,processing,809.91,67
7,8,2024-07-12,completed,29.99,19
8,37,2024-11-21,processing,709.92,67
9,50,2024-08-17,returned,2609.89,17
10,1,2024-09-16,returned,989.92,1
11,47,2024-10-12,cancelled,939.93,22
12,47,2024-10-30,completed,139.95,12
13,49,2024-09-27,shipped,1339.92,23
14,22,2024-08-11,shipped,1022.97,31
15,32,2024-10-21,returned,74.94,1
16,29,2024-06-05,completed,354.94,49
17,31,2024-10-20,shipped,238.93,61
18,18,2024-08-18,completed,489.97,1
19,48,2024-10-16,returned,539.96,1
20,7,2024-07-20,completed,209.97,45
21,35,2024-07-03,completed,2399.97,73
22,45,2024-07-03,cancelled,2859.92,1
23,12,2024-06-14,completed,1319.91,1
24,10,2024-07-09,returned,1447.88,5
25,29,2024-09-22,completed,3009.89,49
26,17,2024-11-17,completed,204.96,69
27,1,2024-09-13,processing,1924.89,1
28,17,2024-11-08,shipped,439.96,69
29,18,2024-07-07,completed,259.98,1
30,29,2024-07-02,processing,551.92,49
31,6,2024-11-01,completed,487.94,66
32,49,2024-11-20,returned,1929.94,51
33,18,2024-07-17,shipped,329.92,1
34,43,2024-06-27,returned,239.95,57
35,43,2024-09-11,returned,2005.91,70
36,27,2024-06-14,completed,699.91,52
37,19,2024-09-21,cancelled,3929.93,56
38,36,2024-09-13,completed,89.97,32
39,42,2024-07-10,processing,111.94,50
40,30,2024-10-20,completed,904.93,48
41,22,2024-10-08,completed,239.97,31
42,38,2024-10-27,cancelled,498.91,1
43,30,2024-08-22,returned,79.95,43
44,50,2024-09-14,completed,199.93,17
45,32,2024-06-10,completed,929.9,1
46,27,2024-11-15,completed,29.98,52
47,40,2024-11-25,processing,99.98,1
48,21,2024-11-08,cancelled,3212.92,71
49,15,2024-06-24,processing,299.97,33
50,29,2024-07-13,cancelled,2629.95,49
51,24,2024-09-19,completed,119.94,16
52,11,2024-07-15,completed,869.91,54
53,17,2024-09-26,completed,29.98,74
54,44,2024-10-18,completed,179.98,9
55,41,2024-09-17,cancelled,349.95,1
56,16,2024-09-06,shipped,169.94,30
57,18,2024-06-03,shipped,104.97,1
58,19,2024-07-29,shipped,834.92,56
59,41,2024-06-25,cancelled,159.98,1
60,38,2024-09-02,cancelled,169.96,1
61,12,2024-07-22,completed,292.9,1
62,8,2024-09-28,completed,374.94,19
63,36,2024-09-02,completed,3160.9,32
64,38,2024-09-06,returned,794.94,1
65,40,2024-07-27,cancelled,159.98,1
66,42,2024-09-13,completed,1679.97,50
67,16,2024-10-16,completed,639.89,65
68,47,2024-07-10,processing,39.98,22
69,18,2024-06-09,cancelled,564.94,1
70,35,2024-11-13,completed,299.98,38
71,8,2024-09-25,completed,329.98,19
72,16,2024-07-03,returned,495.92,20
73,39,2024-06-01,completed,192.97,6
74,43,2024-06-07,completed,39.99,57
75,2,2024-07-15,completed,269.97,1
76,34,2024-06-30,cancelled,29.98,29
77,33,2024-10-30,completed,2454.89,62
78,42,2024-06-08,completed,479.92,50
79,6,2024-08-22,shipped,369.95,66
80,25,2024-10-31,shipped,939.94,7
81,42,2024-11-14,returned,809.91,78
82,47,2024-06-25,completed,231.93,12
83,6,2024-06-24,processing,209.97,66
84,9,2024-10-21,completed,1325.89,3
85,39,2024-08-19,completed,89.97,6
86,10,2024-11-16,processing,1149.95,5
87,8,2024-08-11,shipped,269.94,10
88,39,2024-11-16,returned,3331.93,15
89,1,2024-07-17,returned,79.97,1
90,48,2024-11-10,completed,209.97,1
91,25,2024-09-16,processing,709.92,7
92,4,2024-07-10,completed,2827.88,59
93,18,2024-07-26,returned,1529.86,1
94,3,2024-07-27,processing,3459.92,1
95,32,2024-09-19,completed,462.96,1
96,5,2024-09-10,returned,29.99,75
97,5,2024-08-20,shipped,529.93,35
98,21,2024-07-14,returned,254.93,71
99,34,2024-06-21,processing,224.96,29
100,34,2024-10-09,completed,209.95,29
