payment_id,order_id,payment_date,amount,method,status
1,82,2024-09-12 00:00:00,416.96,paypal,completed
2,12,2024-09-11 00:00:00,341.24,credit_card,completed
3,62,2024-08-22 00:00:00,469.2,credit_card,completed
4,50,2024-07-31 00:00:00,234.43,credit_card,completed
5,39,2024-10-28 00:00:00,366.98,credit_card,completed
6,84,2024-09-01 00:00:00,352.53,credit_card,completed
7,60,2024-08-18 00:00:00,96.66,bank_transfer,failed
8,91,2024-08-19 00:00:00,351.34,bank_transfer,completed
9,48,2024-11-05 00:00:00,126.01,credit_card,pending
10,20,2024-09-25 00:00:00,378.91,paypal,completed
11,54,2024-11-27 00:00:00,283.63,debit_card,failed
12,86,2024-07-26 00:00:00,385.69,bank_transfer,failed
13,11,2024-10-13 00:00:00,234.44,bank_transfer,completed
14,10,2024-10-23 00:00:00,73.86,paypal,failed
15,26,2024-10-25 00:00:00,277.6,credit_card,completed
16,67,2024-09-22 00:00:00,75.8,credit_card,failed
17,63,2024-06-24 00:00:00,451.47,debit_card,completed
18,59,2024-07-04 00:00:00,266.36,debit_card,failed
19,8,2024-10-22 00:00:00,241.94,credit_card,completed
20,51,2024-08-05 00:00:00,411.9,bank_transfer,completed
21,75,2024-06-19 00:00:00,41.74,credit_card,completed
22,70,2024-06-16 00:00:00,468.6,credit_card,pending
23,5,2024-08-13 00:00:00,216.26,credit_card,pending
24,48,2024-09-06 00:00:00,235.3,debit_card,pending
25,11,2024-11-22 00:00:00,482.79,paypal,completed
26,84,2024-08-29 00:00:00,76.94,paypal,pending
27,68,2024-07-03 00:00:00,369.37,credit_card,completed
28,97,2024-06-06 00:00:00,489.68,debit_card,failed
29,55,2024-10-15 00:00:00,202.05,credit_card,completed
30,59,2024-08-28 00:00:00,94.46,credit_card,completed
31,5,2024-11-17 00:00:00,221.24,credit_card,completed
32,27,2024-06-18 00:00:00,68.43,credit_card,pending
33,77,2024-11-20 00:00:00,357.58,credit_card,completed
34,95,2024-06-12 00:00:00,213.09,credit_card,failed
35,28,2024-06-15 00:00:00,87.27,credit_card,completed
36,94,2024-10-26 00:00:00,173.07,paypal,completed
