product_supplier_id,product_id,supplier_id,supply_price,lead_time_days
1,1,1,444.73,19
2,2,2,306.89,20
3,3,3,17.24,6
4,4,4,133.75,17
5,5,5,37.81,20
6,6,6,52.93,17
7,7,7,82.05,19
8,8,8,9.41,20
9,9,9,13.68,8
10,10,10,34.7,18
11,11,1,22.85,10
12,12,2,18.04,11
13,13,3,65.67,19
14,14,4,11.61,10
15,15,5,31.44,5
16,16,6,6.42,10
17,17,7,3.48,13
18,18,8,5.98,5
19,19,9,9.74,10
20,20,10,92.23,7
21,21,1,34.17,5
22,22,2,7.49,13
23,23,3,3.97,16
24,24,4,21.78,16
25,25,5,37.0,21
26,26,6,28.21,3
27,27,7,9.08,21
28,28,8,18.42,3
29,29,9,7.04,12
30,30,10,15.24,16
31,1,1,396.87,20
32,2,2,355.17,10
33,3,3,19.39,11
34,4,4,132.45,3
35,5,5,33.29,15
