refund_id,payment_id,order_id,refund_date,amount,reason
1,85,73,2024-10-13,77.45,other
2,6,84,2024-10-07,196.89,late_delivery
3,97,72,2024-09-22,193.49,late_delivery
4,14,10,2024-09-01,28.74,wrong_item
5,66,98,2024-10-18,108.57,other
6,89,51,2024-10-07,52.0,changed_mind
7,51,2,2024-09-30,156.75,other
8,89,51,2024-10-03,38.64,defective
9,62,98,2024-09-07,66.13,defective
10,15,26,2024-10-24,188.73,wrong_item
11,45,68,2024-09-20,75.18,wrong_item
12,67,9,2024-10-01,76.18,defective
13,57,48,2024-10-17,142.39,changed_mind
14,9,48,2024-09-20,18.49,defective
15,3,62,2024-10-25,75.18,defective
