shipment_id,order_id,carrier,tracking_number,shipped_date,delivered_date,status
1,87,UPS,TRK895094534,2024-08-06,2024-08-11,delivered
2,43,Amazon Logistics,TRK557810637,2024-10-01,2024-10-05,returned
3,24,UPS,TRK787708952,2024-11-20,2024-11-21,returned
4,79,UPS,TRK582727494,2024-11-03,2024-11-04,returned
5,28,UPS,TRK398870482,2024-06-21,2024-06-28,in_transit
6,24,USPS,TRK450023635,2024-07-25,2024-07-28,returned
7,63,Amazon Logistics,TRK786237617,2024-08-24,2024-08-29,in_transit
8,76,FedEx,TRK473581239,2024-09-03,2024-09-08,delivered
9,87,USPS,TRK759797724,2024-11-03,,delivered
10,41,FedEx,TRK356165519,2024-08-22,,delivered
11,89,UPS,TRK648494024,2024-09-12,2024-09-14,in_transit
12,50,DHL,TRK299451515,2024-10-07,2024-10-13,returned
13,23,Amazon Logistics,TRK279170491,2024-10-08,2024-10-10,delivered
14,58,Amazon Logistics,TRK157564650,2024-09-04,2024-09-08,delivered
15,25,DHL,TRK702994164,2024-10-12,2024-10-16,returned
16,63,DHL,TRK862509565,2024-09-26,2024-09-27,in_transit
17,4,UPS,TRK413629152,2024-06-13,2024-06-18,delivered
18,22,DHL,TRK707362554,2024-10-09,2024-10-10,in_transit
19,15,USPS,TRK932271276,2024-10-22,2024-10-25,in_transit
20,97,FedEx,TRK916048218,2024-09-25,2024-09-29,delivered
21,95,UPS,TRK419662531,2024-06-13,2024-06-16,delivered
22,57,FedEx,TRK932828137,2024-08-04,2024-08-10,in_transit
23,89,USPS,TRK863166250,2024-11-08,2024-11-10,in_transit
24,18,UPS,TRK973521043,2024-07-27,2024-08-01,delivered
25,69,USPS,TRK740871060,2024-10-20,,returned
26,38,USPS,TRK714970148,2024-08-12,2024-08-17,returned
27,13,UPS,TRK905407446,2024-09-18,2024-09-21,returned
28,17,UPS,TRK368088898,2024-07-12,2024-07-19,delivered
29,98,DHL,TRK625552311,2024-07-11,2024-07-14,returned
30,54,DHL,TRK585322421,2024-06-24,2024-07-01,delivered
31,52,Amazon Logistics,TRK905094179,2024-08-15,2024-08-18,in_transit
32,63,USPS,TRK724870012,2024-06-05,2024-06-12,returned
33,12,DHL,TRK781654847,2024-11-22,2024-11-29,delivered
34,69,DHL,TRK333893106,2024-09-22,2024-09-26,delivered
35,42,USPS,TRK462661837,2024-10-23,2024-10-28,in_transit
36,44,FedEx,TRK149330844,2024-06-30,2024-07-07,in_transit
37,3,FedEx,TRK269633510,2024-09-25,2024-09-29,delivered
38,89,UPS,TRK797929178,2024-08-21,,delivered
39,12,USPS,TRK368853440,2024-06-26,2024-07-02,delivered
40,7,DHL,TRK771737478,2024-08-22,2024-08-29,delivered
41,55,FedEx,TRK855590022,2024-06-29,,in_transit
42,10,UPS,TRK737458510,2024-08-01,2024-08-05,delivered
43,2,USPS,TRK977364141,2024-07-05,2024-07-09,returned
44,17,DHL,TRK176051319,2024-08-02,2024-08-08,delivered
45,14,USPS,TRK494666352,2024-08-20,,delivered
46,83,UPS,TRK173456403,2024-10-18,2024-10-23,returned
47,22,DHL,TRK477084942,2024-07-29,2024-07-31,in_transit
48,79,DHL,TRK333264702,2024-06-27,2024-06-29,delivered
49,76,DHL,TRK477458516,2024-09-22,2024-09-24,delivered
50,36,FedEx,TRK366467312,2024-10-24,2024-10-30,in_transit
51,37,FedEx,TRK806957378,2024-08-21,2024-08-26,in_transit
52,25,DHL,TRK417335858,2024-11-17,,delivered
53,64,DHL,TRK221057584,2024-08-05,2024-08-10,delivered
54,68,FedEx,TRK487726245,2024-08-25,,in_transit
55,54,USPS,TRK686645526,2024-11-26,,in_transit
56,99,FedEx,TRK117920106,2024-11-02,,delivered
57,28,FedEx,TRK164927936,2024-09-14,2024-09-20,returned
58,65,DHL,TRK554810443,2024-09-15,,in_transit
59,69,Amazon Logistics,TRK263939376,2024-08-15,,delivered
60,66,UPS,TRK967647911,2024-07-14,2024-07-18,in_transit
61,82,FedEx,TRK433041955,2024-09-24,2024-10-01,delivered
62,8,UPS,TRK192570281,2024-09-24,,in_transit
63,78,FedEx,TRK432097676,2024-11-22,2024-11-28,delivered
64,16,FedEx,TRK860102491,2024-07-10,2024-07-12,in_transit
65,45,Amazon Logistics,TRK655363795,2024-08-10,,delivered
66,96,USPS,TRK886983862,2024-07-05,2024-07-06,delivered
67,55,USPS,TRK662484182,2024-06-21,2024-06-26,returned
68,10,DHL,TRK588764892,2024-10-13,2024-10-17,in_transit
69,22,USPS,TRK268910304,2024-08-09,2024-08-14,returned
70,93,FedEx,TRK345247378,2024-10-13,,delivered
71,32,FedEx,TRK606553372,2024-09-06,2024-09-08,delivered
72,5,Amazon Logistics,TRK962338680,2024-11-19,2024-11-22,delivered
73,54,USPS,TRK391261014,2024-06-24,2024-06-25,in_transit
74,87,FedEx,TRK292569534,2024-08-01,2024-08-02,in_transit
75,9,DHL,TRK403124688,2024-08-23,2024-08-28,in_transit
76,2,USPS,TRK315469014,2024-08-18,2024-08-21,returned
77,80,UPS,TRK598137488,2024-09-07,2024-09-11,delivered
78,94,Amazon Logistics,TRK916561565,2024-08-06,,in_transit
79,4,UPS,TRK681479730,2024-09-01,2024-09-07,delivered
80,43,FedEx,TRK914893975,2024-11-20,2024-11-26,returned
81,40,FedEx,TRK320325776,2024-10-18,2024-10-22,in_transit
82,8,UPS,TRK864131026,2024-08-15,,delivered
83,67,DHL,TRK852528635,2024-09-08,2024-09-14,delivered
84,75,FedEx,TRK642698931,2024-07-09,2024-07-13,delivered
85,76,Amazon Logistics,TRK166875719,2024-09-24,2024-09-26,delivered
86,38,USPS,TRK438238241,2024-09-13,2024-09-19,delivered
87,41,DHL,TRK392010397,2024-08-03,,delivered
88,18,Amazon Logistics,TRK217008688,2024-07-14,,in_transit
89,60,USPS,TRK536489528,2024-07-05,2024-07-12,delivered
90,58,USPS,TRK597514616,2024-08-11,2024-08-12,delivered
